date,price,month,temp_avg,temp_min,temp_max,rain_sum,humid_avg,sunshine_sum,temp_diff,oil_diesel,oil_kerosene,cpi_total,cpi_veg_seaweed,cpi_veg_special,cpi_agri_special,gov_bond_1y,gov_bond_3y,epu,old_m2_raw,old_m2_sa,m2_sa,m2_raw
2025-08-19,22232.0,8,28.7,26.2,32.1,0.0,84.1,9.9,5.900000000000002,1097.82,1102.37,116.8041935483871,128.0332258064516,126.8845161290323,133.3570967741935,2.268,2.444,166.6341935483871,4393851.458064516,4392471.487096774,4035895.680645161,4033857.961290323
2025-08-20,22284.0,8,28.9,25.6,32.6,0.0,81.0,11.1,7.0,1097.36,1102.76,116.8238709677419,128.1445161290322,127.0103225806452,133.351935483871,2.267,2.441,166.3738709677419,4395843.603225807,4393890.55483871,4037234.032258064,4035762.564516129
2025-08-21,22740.0,8,28.8,25.1,32.3,0.0,78.1,11.2,7.199999999999996,1097.22,1102.83,116.8435483870968,128.2558064516129,127.1361290322581,133.3467741935484,2.266,2.438,166.1135483870968,4397835.748387097,4395309.622580645,4038572.383870968,4037667.167741936
2025-08-22,19952.0,8,28.8,25.8,32.2,0.0,79.6,11.9,6.400000000000002,1097.03,1102.82,116.8632258064516,128.3670967741936,127.261935483871,133.3416129032258,2.269,2.456,165.8532258064516,4399827.893548387,4396728.690322581,4039910.735483871,4039571.770967742
2025-08-23,19610.0,8,28.8,25.6,32.2,0.0,83.4,11.4,6.600000000000001,1097.08,1102.82,116.8829032258065,128.4783870967742,127.3877419354839,133.3364516129032,2.265333333333333,2.448666666666667,165.5929032258065,4401820.038709678,4398147.758064516,4041249.087096774,4041476.374193549
2025-08-24,19865.0,8,29.1,26.0,32.5,0.0,84.4,10.5,6.5,1096.85,1102.99,116.9025806451613,128.5896774193548,127.5135483870968,133.3312903225806,2.261666666666667,2.441333333333334,165.3325806451613,4403812.183870967,4399566.825806452,4042587.438709677,4043380.977419355
2025-08-25,20120.0,8,29.5,26.8,33.0,0.0,81.5,10.5,6.199999999999999,1096.82,1102.57,116.9222580645161,128.7009677419355,127.6393548387097,133.3261290322581,2.258,2.434,165.0722580645161,4405804.329032258,4400985.893548387,4043925.79032258,4045285.580645161
2025-08-26,19446.0,8,28.8,26.9,31.9,0.0,85.9,5.0,5.0,1096.49,1102.89,116.941935483871,128.8122580645161,127.7651612903226,133.3209677419355,2.25,2.422,164.811935483871,4407796.474193549,4402404.961290322,4045264.141935484,4047190.183870968
2025-08-27,19515.0,8,27.9,25.5,31.6,0.0,82.4,10.2,6.100000000000001,1096.17,1103.09,116.9616129032258,128.9235483870968,127.8909677419355,133.3158064516129,2.24,2.402,164.5516129032258,4409788.619354839,4403824.029032258,4046602.493548387,4049094.787096774
2025-08-28,19441.0,8,28.6,25.2,33.0,0.0,80.1,9.8,7.800000000000001,1096.26,1102.79,116.9812903225806,129.0348387096774,128.0167741935484,133.3106451612903,2.244,2.416,164.2912903225806,4411780.764516129,4405243.096774193,4047940.84516129,4050999.390322581
2025-08-29,21890.0,8,28.9,26.3,32.4,0.0,83.4,11.3,6.099999999999998,1096.38,1102.48,117.0009677419355,129.146129032258,128.1425806451613,133.3054838709677,2.248,2.426,164.0309677419355,4413772.90967742,4406662.164516129,4049279.196774194,4052903.993548387
2025-08-30,22687.0,8,29.4,25.6,33.1,0.0,80.3,11.7,7.5,1096.09,1102.05,117.0206451612903,129.2574193548387,128.2683870967742,133.3003225806451,2.249666666666667,2.429,163.7706451612903,4415765.05483871,4408081.232258065,4050617.548387097,4054808.596774194
2025-08-31,21698.0,8,28.1,26.4,31.3,0.0,85.1,2.2,4.900000000000002,1096.4,1102.28,117.0403225806452,129.3687096774193,128.3941935483871,133.2951612903226,2.251333333333334,2.432,163.5103225806452,4417757.2,4409500.3,4051955.9,4056713.2
2025-09-01,20708.0,9,28.8,26.0,32.9,0.0,83.5,9.2,6.899999999999999,1095.91,1100.67,117.06,129.48,128.52,133.29,2.253,2.435,163.25,4418758.193333333,4410640.689999999,4052453.296666666,4056810.013333334
2025-09-02,21550.0,9,26.6,24.9,29.6,8.0,82.0,6.1,4.700000000000003,1095.92,1100.5,117.072,129.4456666666667,128.4816666666667,133.28,2.258,2.45,164.8223333333333,4419759.186666667,4411781.08,4052950.693333333,4056906.826666667
2025-09-03,19863.0,9,27.8,22.8,33.3,2.7,75.9,9.9,10.499999999999996,1095.63,1100.46,117.084,129.4113333333333,128.4433333333334,133.27,2.268,2.475,166.3946666666667,4420760.18,4412921.47,4053448.09,4057003.64
2025-09-04,18988.0,9,27.9,24.4,32.1,0.0,81.0,9.3,7.700000000000003,1095.72,1100.97,117.096,129.377,128.405,133.26,2.269,2.472,167.967,4421761.173333334,4414061.859999999,4053945.486666666,4057100.453333334
2025-09-05,20399.0,9,28.6,24.3,33.0,0.0,79.1,11.9,8.7,1095.28,1101.12,117.108,129.3426666666666,128.3666666666667,133.25,2.27,2.46,169.5393333333333,4422762.166666667,4415202.25,4054442.883333333,4057197.266666667
2025-09-06,20161.0,9,28.9,26.1,32.1,0.0,84.0,8.9,6.0,1095.16,1101.09,117.12,129.3083333333333,128.3283333333333,133.24,2.269666666666667,2.456,171.1116666666667,4423763.16,4416342.64,4054940.28,4057294.08
2025-09-07,21633.0,9,27.1,24.8,29.2,13.8,92.5,1.3,4.399999999999999,1095.11,1100.9,117.132,129.274,128.29,133.23,2.269333333333333,2.452,172.684,4424764.153333333,4417483.03,4055437.676666667,4057390.893333334
2025-09-08,23105.0,9,22.9,20.1,25.3,23.6,90.9,1.0,5.199999999999999,1095.22,1100.35,117.144,129.2396666666667,128.2516666666667,133.22,2.269,2.448,174.2563333333333,4425765.146666666,4418623.42,4055935.073333333,4057487.706666667
2025-09-09,19661.0,9,20.7,18.1,21.7,30.4,91.3,0.0,3.599999999999998,1095.19,1100.9,117.156,129.2053333333333,128.2133333333333,133.21,2.266,2.425,175.8286666666667,4426766.140000001,4419763.81,4056432.47,4057584.52
2025-09-10,18315.0,9,24.1,20.6,28.4,2.3,86.4,8.4,7.799999999999997,1095.5,1100.43,117.168,129.171,128.175,133.2,2.275,2.43,177.401,4427767.133333334,4420904.2,4056929.866666667,4057681.333333333
2025-09-11,18574.0,9,26.0,21.8,30.5,0.0,77.1,7.6,8.7,1095.51,1100.31,117.18,129.1366666666667,128.1366666666667,133.19,2.273,2.42,178.9733333333333,4428768.126666667,4422044.59,4057427.263333333,4057778.146666667
2025-09-12,18061.0,9,25.7,23.3,28.3,1.1,82.0,0.7,5.0,1095.19,1100.55,117.192,129.1023333333333,128.0983333333333,133.18,2.277,2.431,180.5456666666666,4429769.12,4423184.98,4057924.66,4057874.96
2025-09-13,17092.0,9,26.0,23.7,29.2,10.5,92.5,2.4,5.5,1095.05,1100.77,117.204,129.068,128.06,133.17,2.277333333333333,2.435,182.118,4430770.113333333,4424325.37,4058422.056666667,4057971.773333333
2025-09-14,20006.0,9,25.5,23.1,28.6,0.0,86.8,2.9,5.5,1094.94,1101.06,117.216,129.0336666666666,128.0216666666667,133.16,2.277666666666667,2.439,183.6903333333333,4431771.106666666,4425465.76,4058919.453333333,4058068.586666667
2025-09-15,22921.0,9,25.6,24.2,28.3,9.9,93.8,1.0,4.100000000000001,1094.76,1100.99,117.228,128.9993333333333,127.9833333333333,133.15,2.278,2.443,185.2626666666667,4432772.1,4426606.15,4059416.85,4058165.4
2025-09-16,17908.0,9,27.5,24.5,31.1,0.0,88.0,8.8,6.600000000000001,1094.54,1100.76,117.24,128.965,127.945,133.14,2.266,2.417,186.835,4433773.093333334,4427746.54,4059914.246666667,4058262.213333333
2025-09-17,17378.0,9,26.0,23.5,29.9,2.6,90.5,1.7,6.399999999999999,1094.47,1101.13,117.252,128.9306666666667,127.9066666666667,133.13,2.266,2.418,188.4073333333333,4434774.086666667,4428886.93,4060411.643333333,4058359.026666667
2025-09-18,17762.0,9,24.0,22.3,27.2,0.0,78.3,6.2,4.899999999999999,1094.47,1100.63,117.264,128.8963333333333,127.8683333333333,133.12,2.262,2.403,189.9796666666667,4435775.08,4430027.32,4060909.04,4058455.84
2025-09-19,21361.0,9,23.5,21.2,26.8,0.5,79.5,1.4,5.600000000000001,1094.36,1101.29,117.276,128.862,127.83,133.11,2.276,2.441,191.552,4436776.073333333,4431167.71,4061406.436666667,4058552.653333333
2025-09-20,19135.0,9,23.2,21.5,25.8,8.1,85.4,2.6,4.300000000000001,1094.43,1101.28,117.288,128.8276666666667,127.7916666666667,133.1,2.278333333333333,2.447,193.1243333333333,4437777.066666666,4432308.1,4061903.833333333,4058649.466666667
2025-09-21,19815.0,9,22.5,18.4,26.2,0.0,82.6,7.8,7.800000000000001,1094.77,1101.24,117.3,128.7933333333333,127.7533333333333,133.09,2.280666666666666,2.453,194.6966666666667,4438778.060000001,4433448.49,4062401.23,4058746.28
2025-09-22,20495.0,9,23.2,19.3,27.3,0.0,65.8,6.6,8.0,1094.53,1101.48,117.312,128.759,127.715,133.08,2.283,2.459,196.269,4439779.053333334,4434588.88,4062898.626666666,4058843.093333333
2025-09-23,17685.0,9,24.3,20.2,28.7,0.0,59.3,9.2,8.5,1094.38,1100.81,117.324,128.7246666666666,127.6766666666667,133.07,2.285,2.46,197.8413333333333,4440780.046666667,4435729.27,4063396.023333333,4058939.906666667
2025-09-24,15575.0,9,24.9,22.5,29.0,6.5,86.3,1.6,6.5,1094.27,1101.32,117.336,128.6903333333333,127.6383333333333,133.06,2.291,2.489,199.4136666666666,4441781.04,4436869.66,4063893.42,4059036.72
2025-09-25,16069.0,9,23.7,22.5,25.4,37.7,97.3,0.0,2.8999999999999986,1094.3,1101.41,117.348,128.656,127.6,133.05,2.303,2.528,200.986,4442782.033333333,4438010.05,4064390.816666666,4059133.533333333
2025-09-26,20700.0,9,23.8,21.9,26.2,0.1,86.9,1.6,4.300000000000001,1094.11,1101.07,117.36,128.6216666666667,127.5616666666667,133.04,2.318,2.562,202.5583333333333,4443783.026666666,4439150.44,4064888.213333333,4059230.346666667
2025-09-27,16725.0,9,23.3,20.7,25.4,0.3,87.6,0.0,4.699999999999999,1094.18,1101.71,117.372,128.5873333333333,127.5233333333333,133.03,2.319333333333333,2.562333333333333,204.1306666666667,4444784.02,4440290.83,4065385.61,4059327.16
2025-09-28,16949.0,9,22.8,20.7,25.7,3.5,91.5,0.2,5.0,1094.21,1101.83,117.384,128.553,127.485,133.02,2.320666666666667,2.562666666666667,205.703,4445785.013333334,4441431.22,4065883.006666666,4059423.973333334
2025-09-29,17173.0,9,21.4,19.5,24.5,0.0,81.0,4.2,5.0,1094.3,1101.88,117.396,128.5186666666667,127.4466666666667,133.01,2.322,2.563,207.2753333333333,4446786.006666667,4442571.61,4066380.403333333,4059520.786666667
2025-09-30,15788.0,9,20.9,17.4,24.8,0.0,83.9,5.6,7.400000000000002,1094.39,1102.04,117.408,128.4843333333333,127.4083333333333,133.0,2.325,2.582,208.8476666666667,4447787.0,4443712.0,4066877.8,4059617.6
2025-10-01,14997.0,10,21.5,17.7,25.8,0.0,78.9,10.9,8.100000000000001,1094.64,1100.72,117.42,128.45,127.37,132.99,2.326,2.596,210.42,4448573.864516129,4444870.816129033,4066456.196774194,4059320.648387097
2025-10-02,17090.0,10,20.4,17.2,23.8,11.2,86.3,0.1,6.600000000000001,1095.05,1102.71,117.4129032258065,128.2851612903226,127.1761290322581,132.7970967741936,2.314,2.581,209.0551612903226,4449360.729032259,4446029.632258064,4066034.593548387,4059023.696774194
2025-10-03,24751.0,10,18.7,16.7,19.8,34.0,98.0,0.0,3.1000000000000014,1095.4,1103.03,117.4058064516129,128.1203225806451,126.9822580645161,132.6041935483871,2.3145,2.58225,207.6903225806452,4450147.593548387,4447188.448387097,4065612.990322581,4058726.74516129
2025-10-04,34585.0,10,22.3,19.7,25.1,0.1,96.1,1.3,5.400000000000002,1095.71,1102.8,117.3987096774194,127.9554838709677,126.7883870967742,132.4112903225806,2.315,2.5835,206.3254838709677,4450934.458064516,4448347.264516129,4065191.387096774,4058429.793548387
2025-10-05,33177.0,10,22.8,21.6,25.9,0.0,91.0,5.3,4.299999999999997,1095.85,1102.54,117.3916129032258,127.7906451612903,126.5945161290323,132.2183870967742,2.3155,2.58475,204.9606451612903,4451721.322580645,4449506.080645162,4064769.783870968,4058132.841935484
