date,price,month,temp_avg,temp_min,temp_max,rain_sum,humid_avg,sunshine_sum,temp_diff,oil_diesel,oil_kerosene,cpi_total,cpi_veg_seaweed,cpi_veg_special,cpi_agri_special,gov_bond_1y,gov_bond_3y,epu,old_m2_raw,old_m2_sa,m2_sa,m2_raw
2017-03-10,4489.111111111111,3,5.6,-3.2,14.0,0.0,62.15,10.8,17.2,730.61,691.74,97.52929032258064,92.34990322580646,91.88787096774192,91.16487096774192,1.508,1.78,104.8383870967742,2430700.325806451,2432973.696774194,2283783.35483871,2284073.34516129
2017-03-11,4470.740740740741,3,6.25,-6.4,17.0,0.0,49.65,10.05,23.4,730.52,691.65,97.52532258064517,92.09122580645162,91.60196774193548,91.04196774193548,1.505,1.775,103.6670967741935,2431062.548387097,2433367.206451613,2284278.990322581,2284343.009677419
2017-03-12,4452.37037037037,3,8.4,-5.0,17.7,0.0,48.65,8.9,22.7,730.83,691.93,97.52135483870968,91.83254838709678,91.31606451612905,90.91906451612904,1.502,1.77,102.4958064516129,2431424.770967742,2433760.716129032,2284774.625806452,2284612.674193549
2017-03-13,4434.0,3,6.800000000000001,3.9,12.9,0.0,70.1,6.75,9.0,730.94,691.96,97.5173870967742,91.57387096774194,91.03016129032258,90.7961612903226,1.499,1.765,101.3245161290322,2431786.993548387,2434154.225806451,2285270.261290323,2284882.338709678
2017-03-14,4427.111111111111,3,5.0,-1.2,10.2,0.0,60.85,11.15,11.4,730.48,691.7,97.5134193548387,91.3151935483871,90.74425806451612,90.67325806451612,1.492,1.758,100.1532258064516,2432149.216129032,2434547.735483871,2285765.896774194,2285152.003225807
2017-03-15,4427.111111111111,3,4.5,-4.6,12.2,0.0,63.2,10.9,16.799999999999997,730.55,691.25,97.50945161290322,91.05651612903226,90.45835483870968,90.55035483870968,1.494,1.759,98.98193548387096,2432511.438709678,2434941.24516129,2286261.532258064,2285421.667741936
2017-03-16,4421.333333333333,3,4.4,-4.7,13.2,0.0,64.4,8.2,17.9,730.4,691.18,97.50548387096774,90.79783870967742,90.17245161290325,90.42745161290324,1.477,1.695,97.81064516129032,2432873.661290322,2435334.75483871,2286757.167741936,2285691.332258064
2017-03-17,4431.136363636364,3,5.2,-7.1,15.4,0.0,67.75,10.95,22.5,730.44,689.98,97.50151612903224,90.53916129032258,89.88654838709677,90.30454838709676,1.476,1.675,96.63935483870966,2433235.883870968,2435728.264516129,2287252.803225806,2285960.996774193
2017-03-18,4436.590909090909,3,6.85,-2.8,16.8,0.0,62.1,5.4,19.6,730.0,689.44,97.49754838709676,90.28048387096774,89.60064516129032,90.18164516129032,1.476333333333333,1.673333333333333,95.46806451612905,2433598.106451613,2436121.774193549,2287748.438709678,2286230.661290322
2017-03-19,4442.045454545455,3,8.05,-4.9,19.4,0.0,58.3,8.9,24.3,730.19,688.53,97.49358064516127,90.0218064516129,89.31474193548387,90.05874193548387,1.476666666666667,1.671666666666667,94.29677419354836,2433960.329032258,2436515.283870968,2288244.074193548,2286500.325806451
2017-03-20,4447.5,3,8.15,1.7,11.8,7.35,77.75,0.0,10.1,729.94,687.63,97.4896129032258,89.76312903225806,89.02883870967742,89.93583870967741,1.477,1.67,93.12548387096774,2434322.551612903,2436908.793548387,2288739.70967742,2286769.990322581
2017-03-21,4447.5,3,6.449999999999999,2.5,9.6,0.55,67.94999999999999,10.25,7.1,729.58,686.88,97.48564516129032,89.50445161290322,88.74293548387097,89.81293548387097,1.475,1.67,91.95419354838708,2434684.774193549,2437302.303225806,2289235.34516129,2287039.65483871
2017-03-22,4447.5,3,6.300000000000001,-1.4,13.8,0.0,64.25,3.65,15.2,729.04,686.92,97.48167741935484,89.24577419354839,88.45703225806452,89.69003225806452,1.472,1.663,90.78290322580644,2435046.996774193,2437695.812903226,2289730.980645162,2287309.319354839
2017-03-23,4361.590909090909,3,7.85,3.3,14.6,0.0,67.1,4.65,11.3,728.81,686.21,97.47770967741936,88.98709677419355,88.17112903225807,89.56712903225807,1.476,1.666,89.6116129032258,2435409.219354839,2438089.322580645,2290226.616129032,2287578.983870968
2017-03-24,4351.111111111111,3,7.6,-1.3,13.7,0.0,71.6,2.2,15.0,727.84,686.27,97.47374193548389,88.7284193548387,87.88522580645161,89.44422580645161,1.482,1.678,88.44032258064516,2435771.441935484,2438482.832258064,2290722.251612904,2287848.648387097
2017-03-25,4353.555555555556,3,6.95,2.4,10.9,7.1,88.4,2.05,8.5,727.15,686.34,97.46977419354836,88.46974193548388,87.59932258064516,89.32132258064516,1.477333333333333,1.668666666666667,87.26903225806451,2436133.664516129,2438876.341935484,2291217.887096774,2288118.312903226
2017-03-26,4356.0,3,5.85,-1.9,11.4,0.0,77.3,2.85,13.3,726.89,686.78,97.46580645161288,88.21106451612904,87.31341935483871,89.1984193548387,1.472666666666667,1.659333333333333,86.09774193548387,2436495.887096774,2439269.851612903,2291713.522580646,2288387.977419354
2017-03-27,4358.444444444444,3,6.800000000000001,-0.1,11.7,1.0,78.95,8.5,11.8,726.72,686.14,97.4618387096774,87.9523870967742,87.02751612903225,89.07551612903225,1.468,1.65,84.92645161290322,2436858.10967742,2439663.361290323,2292209.158064516,2288657.641935484
2017-03-28,4356.666666666667,3,7.35,-3.5,14.4,2.55,70.85,4.35,17.9,726.45,685.54,97.45787096774193,87.69370967741936,86.7416129032258,88.9526129032258,1.472,1.657,83.75516129032258,2437220.332258064,2440056.870967742,2292704.793548387,2288927.306451613
2017-03-29,4351.777777777777,3,8.8,5.4,13.1,2.2,86.85,0.6000000000000001,7.699999999999999,725.55,685.31,97.45390322580644,87.43503225806452,86.45570967741935,88.82970967741936,1.47,1.653,82.58387096774193,2437582.55483871,2440450.380645161,2293200.429032258,2289196.970967742
