구분,자동차용경유,실내등유
2017년05월28일,713.09,676.43
2017년05월29일,712.77,676.50
2017년05월30일,712.64,676.43
2017년05월31일,712.64,676.18
2017년06월01일,712.06,675.63
2017년06월02일,711.65,674.73
2017년06월03일,711.38,673.46
2017년06월04일,711.03,672.84
2017년06월05일,710.34,672.16
2017년06월06일,710.34,672.16
2017년06월07일,709.59,670.88
2017년06월08일,709.35,672.50
2017년06월09일,709.47,672.02
2017년06월10일,709.29,673.18
2017년06월11일,708.78,674.43
2017년06월12일,708.46,674.22
2017년06월13일,708.02,673.85
2017년06월14일,707.70,673.88
2017년06월15일,707.50,673.51
2017년06월16일,707.46,673.45
2017년06월17일,705.53,672.47
2017년06월18일,705.45,672.13
2017년06월19일,704.94,672.48
2017년06월20일,703.96,670.69
2017년06월21일,703.46,669.08
2017년06월22일,702.95,669.21
2017년06월23일,702.45,668.38
2017년06월24일,701.57,667.85
2017년06월25일,700.94,668.12
2017년06월26일,700.56,668.78
2017년06월27일,699.90,668.51
2017년06월28일,698.72,667.46
2017년06월29일,698.39,667.29
2017년06월30일,697.48,667.17
2017년07월01일,696.30,667.66
2017년07월02일,695.79,667.82
2017년07월03일,695.47,666.96
2017년07월04일,694.49,666.23
2017년07월05일,693.66,665.64
2017년07월06일,693.52,665.07
2017년07월07일,693.08,665.23
2017년07월08일,692.78,664.99
2017년07월09일,692.49,663.71
2017년07월10일,692.28,663.17
2017년07월11일,691.53,661.97
2017년07월12일,691.41,661.52
2017년07월13일,691.13,662.06
2017년07월14일,691.25,661.52
2017년07월15일,690.81,661.90
2017년07월16일,690.69,661.06
2017년07월17일,690.50,661.51
2017년07월18일,690.26,662.12
2017년07월19일,690.03,663.03
2017년07월20일,690.11,662.67
2017년07월21일,689.93,662.50
2017년07월22일,689.65,661.66
2017년07월23일,689.60,661.65
2017년07월24일,689.19,662.09
2017년07월25일,689.05,662.83
2017년07월26일,688.98,663.13
2017년07월27일,688.91,662.60
2017년07월28일,688.88,662.40
2017년07월29일,688.81,661.88
2017년07월30일,688.88,662.48
2017년07월31일,688.99,662.33
2017년08월01일,688.70,661.89
2017년08월02일,688.23,661.14
2017년08월03일,688.08,660.77
2017년08월04일,687.42,660.04
2017년08월05일,686.22,658.75
2017년08월06일,685.03,658.71
2017년08월07일,688.22,660.89
2017년08월08일,688.92,663.12
2017년08월09일,690.05,663.60
2017년08월10일,690.97,663.65
2017년08월11일,691.92,664.30
2017년08월12일,692.39,665.32
2017년08월13일,692.94,666.04
2017년08월14일,693.43,665.92
2017년08월15일,693.42,666.63
2017년08월16일,693.27,666.59
2017년08월17일,693.21,666.99
2017년08월18일,693.83,666.20
2017년08월19일,694.02,666.26
2017년08월20일,694.05,667.04
2017년08월21일,693.99,666.92
2017년08월22일,694.12,667.37
2017년08월23일,694.50,667.18
2017년08월24일,695.03,667.46
2017년08월25일,695.06,667.78
2017년08월26일,695.42,667.90
2017년08월27일,696.00,668.12
2017년08월28일,696.27,667.61
2017년08월29일,696.47,668.74
2017년08월30일,696.81,669.15
2017년08월31일,697.28,668.65
2017년09월01일,697.63,669.11
2017년09월02일,698.56,669.89
2017년09월03일,699.31,669.87
2017년09월04일,699.69,669.44
2017년09월05일,699.85,669.46
2017년09월06일,700.47,669.74
2017년09월07일,700.66,669.61
2017년09월08일,701.01,669.25
2017년09월09일,701.58,669.28
2017년09월10일,701.97,669.81
2017년09월11일,702.30,669.35
2017년09월12일,702.84,670.43
2017년09월13일,703.66,670.92
2017년09월14일,704.63,672.26
2017년09월15일,705.08,672.12
2017년09월16일,705.58,672.87
2017년09월17일,706.56,673.10
2017년09월18일,707.18,673.13
2017년09월19일,706.91,673.09
2017년09월20일,707.85,673.93
2017년09월21일,708.53,674.94
2017년09월22일,709.46,675.46
2017년09월23일,710.46,675.22
2017년09월24일,710.77,675.18
2017년09월25일,710.87,675.11
2017년09월26일,711.57,676.79
2017년09월27일,711.59,676.81
2017년09월28일,712.39,676.61
2017년09월29일,713.51,677.54
2017년09월30일,714.29,678.58
2017년10월01일,715.61,679.81
2017년10월02일,716.67,679.93
2017년10월03일,717.49,681.15
2017년10월04일,718.11,681.51
2017년10월05일,718.26,681.49
2017년10월06일,718.74,680.96
2017년10월07일,719.16,681.97
2017년10월08일,719.16,683.14
